,id,overview,genres,Action,Comedy,Drama,Thriller,Romance
6178,49370, female aerobics instructor meet  male reporter  story  health club  love  first sight,Drama|Romance,0,0,1,0,1
1444,24803,julia child  julie powell  write memoir  find  life intertwine though separate  time  space  woman  loose end  discover  right combination  passion fearlessness  butter anything  possible,Romance|Drama,0,0,1,0,1
1280,295588, high school football star  suddenly stricken  irreversible total blindness  must decide whether  live  safe handicapped life  bravely return  life  know  sport  still love,Drama,0,0,1,0,0
10220,137, narcissistic tv weatherman along  attractive  distant producer  mawkish cameraman  send  report  groundhog day  small town  punxsutawney  find  repeat  day  over,Romance|Fantasy|Drama|Comedy,0,1,1,0,1
122,277355, betray  powerful mob boss  woman match wit  weaponry  legion  killer  collect  bounty  head  family,Thriller|Action,1,0,0,1,0
5014,9282,tell  seemingly random  vitally connect story  set  incident  converge  evening  pm  story follow  chain  event  different character  different storyline  converge  tell  story  murder  deceit,Crime|Drama|Thriller,0,0,1,1,0
3649,44754, young woman witness  bus accident  catch  aftermath  question  whether  intentional affect many people live,Drama,0,0,1,0,0
3434,59965, young man set  uncover  truth  life  find  baby photo  miss person website,Thriller|Action|Mystery,1,0,0,1,0
8986,846,blackwood texas  fall  hole  ground  young boy  infect  alien black oil  week later  dallas  federal building  bomb  terrorist kill  people include  blackwood boy mulder  scully  part  fbi anti terrorism unit learn  boy  well  victim  dead even  bomb  death  alien virus  texas desert  agent find  agricultural complex  hold  key  unlocking  government conspiracy surround  extraterrestrial  lethal virus  mulder  scully must fight  government  conspiracy  find  truth  alien colonization  earth,Mystery|Science Fiction|Thriller,0,0,0,1,0
10411,42700, murder  prostitute  nazi occupy warsaw draw wehrmacht major grau  investigation  evidence point  high rank general  trail lead grau  warsaw  paris  straight  plot  assassinate adolf hitler  general  deeply involve graus case go unfinished  true killer  bring  justice,Drama|Action|Thriller|Crime|Mystery,1,0,1,1,0
2302,54700, darkly romantic ghost story  woman travel  isolate cabin  stalk  apparition  inhabit  space  unexpected arrival  woman  boyfriend  dark spirit  haunting grow obsessive soon  woman begin  exhibit weirdly irrational behavior  thin line  sanity  possession begin  unravel  battle  inner demon  much dark presence threaten  all,Drama|Horror|Thriller,0,0,1,1,0
7572,13022, director  wolf creek come  terrifying look  nature perfect kill machine  group  tourist stumble  remote australian river territory  enormous crocodile  deadly creature trap  tiny mud island  tide quickly rise  darkness descend  hungry predator close  must fight  survival  odd,Action|Horror|Thriller,1,0,0,1,0
8200,18392, year old college freshman  seduce  handsome vampire lover  introduce  dark world  carnal desire,Horror|Thriller,0,0,0,1,0
2004,44639, film  expose  shocking truth behind  economic crisis  global financial meltdown  cost  trillion result  million  people lose  home  job  extensive research  interview  major financial insider politician  journalist inside job trace  rise  rogue industry  unveil  corrosive relationship  corrupt politic regulation  academia,Documentary,0,0,0,0,0
5508,57201, texas rangers chase  gang  outlaws lead  butch cavendish  gang ambush  ranger seemingly kill  survivor  find  american indian name tonto  nurse  back  health  ranger don  mask  ride  white stallion name silver team  tonto  bring  unscrupulous gang  other  ilk  justice,Action|Adventure|Western,1,0,0,0,0
9470,287,veteran catcher crash davis  bring  minor league durham bull  help  come pitch prospect nuke laloosh  relationship get  rocky start  complicated  baseball groupie annie savoy set  sight  man,Comedy|Romance,0,1,0,0,1
1005,206296, new york  struggle actress  successful writer sing  fail marriage  perspective,Comedy|Drama|Music|Romance,0,1,1,0,1
4842,115210, clumsy  unfunny clown richard stitch grindle entertain  th birthday party  little tom  boy  friend play  prank  stitch tie  shoelace stitch slips fall  die  year later tom give  birthday party  friend  home  stitch revive  haunt  teenager  revenge  death,Horror,0,0,0,0,0
9200,8913,dr louis creeds family move  country house  dream  discover  pet cemetery  back  property  curse burial ground deep  wood bring  dead back  life  minor problem  first  family cat make  return trip  accident force  heartbroken father  contemplate  unthinkable,Drama|Horror,0,0,1,0,0
5183,15271, social set know  press  follow  every move  bright young thing  adam  friend  eccentric wild  entirely shocking  old generation amidst  madness adam  well connect  totally break  desperately try  get enough money  marry  beautiful nina  attempt  raise cash  constantly thwart  friend seem  self destruct  endless search  new  fast sensation finally  world event  control come crash around  force  reassess  life  value most,Comedy|Foreign,0,1,0,0,0
3055,13493, overachieve high school student decide  travel around  country  choose  perfect college  overprotective cop father  decide  accompany  order  keep  straight  narrow,Comedy|Family,0,1,0,0,0
2885,4922,tell  story  benjamin button  man  start age backwards  bizarre consequence,Fantasy|Drama|Thriller|Mystery|Romance,0,0,1,1,1
3433,59440, ex marine haunt  tragic past tommy riordan tom hardy return  hometown  pittsburgh  enlist  father nick nolte  recover alcoholic  former coach  train  mma tournament award  big purse  history  sport  tommy blaze  violent path toward  title prize  brother brendan joel edgerton  former mma fighter unable  make end meet  public school teacher return  amateur ring  provide  family even though year  pass recrimination  past betrayal keep brendan bitterly estranged  tommy  father  brendan unlikely rise  underdog set  collision course  tommy  brother must finally confront  force  tear  apart  wage  intense winner take  battle  live,Action|Drama,1,0,1,0,0
2132,35558,jessica olsen go  los angeles  nothing  mind  visit  grandparent  sister try  meet christopher wilde  night  meet christopher wilde  go  adventure around los angeles  start  like  jessica return home christopher  national tv say  know  never meet she,Comedy|Romance|TV Movie,0,1,0,0,1
10348,19931, series  flashback  young chinese woman bear  america  respective mother bear  feudal china explore  past  search  help  understand  difficult mother daughter relationship,Drama,0,0,1,0,0
8303,14239,jack deebs  cartoonist  due  release  jail  comic book cool world describe  zany world populate  doodle cartoon character  noid humanoid  jack  realize  cool world really  exist  doodle scientist  perfect  machine  link cool world  world intrigue  see  create come  life jack  nonetheless wary  know  everything  cool world  exactly friendly,Animation|Comedy|Fantasy,0,1,0,0,0
10427,28504, story follow  family  inbreed  afflict  genetic disorder know  merrye syndrome name  family  disorder develop  malady cause  victim  enter  state  age regression  start  age  continue throughout  remainder  person life render  intelligence  child  final generation  family  entrust  care  family chauffeur lon chaney jnr  well  odd people  greedy branch  family decides  want  relieve  family  home mental illness  always  always  fascinating subject  horror movie  probe  unknown  spider baby make good use  fact,Horror|Comedy|Science Fiction,0,1,0,0,0
4461,78698,base  inspire true story  small town news reporter krasinski  greenpeace volunteer barrymore enlist  help  rival superpower  save  majestic gray whale trap  ice  arctic circle  big miracle  adapt  nonfiction book  free  whale  medium create  world  great non event  tom rise,Adventure|Drama|Romance,0,0,1,0,1
2057,42684, strange light descend  city  los angeles people  draw outside like moth  flame  extraterrestrial force threaten  swallow  entire human population  face  earth  band  survivor must fight  live  world unravels around they,Science Fiction,0,0,0,0,0
6955,10004, sheriff arrest  writer  family  couple  hitchiker  throw  jail cell  desert town  desperation  must fight  live,Drama|Fantasy|Horror|Thriller|Mystery,0,0,1,1,0
229,239573, hard work small business owner  associate travel  europe  close  important deal  life  begin  routine business trip go  rail  every imaginable  unimaginable  way include unplanned stop  massive sex fetish event  global economic summit,Comedy,0,1,0,0,0
5079,10739,jerry falk  aspire writer  new york fall  love  first sight  free spirited young woman name amanda  hear  phrase  life  like anything else  soon  find  life  unpredictable amanda  like anything else  all,Comedy|Romance,0,1,0,0,1
6838,1781, documentary  al gore campaign  make  issue  global warming  recognize problem worldwide,Documentary,0,0,0,0,0
9935,15393, brief fle  male disc jockey  obsess female fan take  frightening  perhaps even deadly turn  another woman enter  picture,Crime|Drama|Romance|Thriller,0,0,1,1,1
7135,1997, tiger  separate  cub  take  captivity  reunite year later  enemy  explorer pearce  inadvertently force  fight  other,Adventure|Drama|Family,0,0,1,0,0
5526,72710, parasitic alien soul  inject  body  melanie stryder instead  carry  race mission  take  earth wanda  comes  call form  bond  host  set  aid  free human,Action|Adventure|Romance|Science Fiction|Thriller,1,0,0,1,1
3007,12690, friend hire  police  small town  suffering  rule  rancher find  job complicate  arrival  young widow,Drama|Western|Crime,0,0,1,0,0
4453,59961,denzel washington play  dangerous renegade  cia  come back onto  grid  decade  run  south african safe house he s remand  attack  mercenary  rookie operative ryan reynold escape  unlikely ally must stay alive long enough  uncover  want  dead,Action|Thriller|Crime|Mystery,1,0,0,1,0
9977,32082,black comedy  suicidal doctor struggle  find mean  life  murderer stalk  hall  hospital,Mystery|Comedy|Drama,0,1,1,0,0
209,157544, highly secure vault deep  wall  vatican city  catholic church hold thousand  old film  video footage documenting exorcism suppose exorcism  unexplained religious phenomenon  feel  world  ready  see  first tape  case  g  steal  archive  expose  public  anonymous source,Thriller|Horror,0,0,0,1,0
7234,16784, us president gene hackman  retire  term  office return  hometown  mooseport maine  decide  run  mayor  another local candidate ray romano,Comedy,0,1,0,0,0
2750,9104,set  fall  berlin wall  sgt ray elwood  american soldier station  german army camp  soldier  judge give  choice  army  jail ray spend much  free time cooking cocaine  mp  soldier die  toxicology screen show  alarming level  illegal narcotic someone  send  investigate,Drama|Comedy|War|Crime|Thriller,0,1,1,1,0
5817,183662, secret admirer crush  high school athlete take  fatal turn,Thriller,0,0,0,1,0
4381,41154,agent j  smith  k tommy lee jones  back  time j  see  inexplicable thing  year  man  black  nothing  even alien perplexe  much  wry reticent partner  ks life  fate  planet  put  stake agent j  travel back  time  put thing right j discover  secret  universe  k never tell  secret  reveal  team  young agent k josh brolin  save  partner  agency  future  humankind,Action|Comedy|Science Fiction,1,1,0,0,0
4397,72387, former elite agent rescue  year old chinese girl  abduct  find  middle  standoff  triad  russian mafia  high level corrupt new york city politician  police,Action|Crime|Thriller,1,0,0,1,0
280,271736, irish sport journalist become convinced  lance armstrong performance  tour de france victory  fuel  ban substance  conviction  start hunt  evidence  expose armstrong,Drama,0,0,1,0,0
2944,8321,ray  ken  hit man  bruge belgium wait  next mission  time  think  discuss  previous assignment  mission  reveal  ken  expect,Comedy|Drama|Crime,0,1,1,0,0
5615,132344, meet jesse  celine  year  greece almost  decade  pass since  first meeting  train bind  vienna,Romance|Drama,0,0,1,0,1
10206,10970,aspire filmmaker mel funn marty eggs  dom bell go  financially troubled studio  idea  silent movie  effort  make  movie  marketable  attempt  recruit  number  big name star  appear  studio creditor attempt  thwart  film contain  word  dialogue speak  unlikely source,Comedy,0,1,0,0,0
5680,235093,drama documentary base  bill oreillys  martin dugard  non fiction book kill kennedy  end  camelot  follow  parallel life  john f kennedy  lee harvey oswald  winter  fatal day  dallas  november  die  day  bury  day  john f kennedy  state funeral  washington  c broadcast live  europe  pacific  oswald  bury  forth worth  small funeral  attend reporter  ask  act  pallbearer,Drama,0,0,1,0,0
4606,127962,set aboard  hulk fishing vessel  navigate  treacherous wave  new england coast  water  inspire moby dick  film capture  harsh unforgive world  fisherman  starkly haunt  beautiful detail,Documentary,0,0,0,0,0
1728,17927,guy  girl  math  popular guy  high school decide  ditch football camp  cheerleader camp  girl  glory,Comedy|Romance,0,1,0,0,1
5743,74461, good friend  dedicated roleplayer take  wood  reenact  dungeon  dragon like scenario  live action role play game trouble arise  prop spellbook purchase  internet end  genuine grimoire  unwittingly conjure  blood lust succubus  hell,Adventure|Fantasy|Horror|Comedy,0,1,0,0,0
337,348811, rag tag unit  misfit know  war pig must go behind enemy line  exterminate nazi  mean necessary,War|Action,1,0,0,0,0
6385,8968,every culture  horrible monster fuel young children nightmare  tim  boogeyman still live  memory  creature  devour  father  year early  boogeyman real  tim make  explain  father abandon  family,Thriller|Horror|Drama|Mystery,0,0,1,1,0
5239,489, hunt  janitor  mit  gift  mathematic  need help  psychologist  find direction  life,Drama,0,0,1,0,0
2650,869, spectacular crash landing  uncharted planet brash astronaut leo davidson mark wahlberg find  trap  savage world  talk ape dominate  human race desperate  find  way home leo must evade  invincible gorilla army lead  ruthless general thade tim roth  trust warrior attar michael clarke duncan,Thriller|Science Fiction|Action|Adventure,1,0,0,1,0
6201,561,john constantine  literally  hell  back  team  policewoman  solve  mysterious suicide  twin sister  investigation take  world  demon  angel  exist beneath  landscape  contemporary los angeles,Drama|Fantasy|Horror,0,0,1,0,0
9271,39787, conflict develop  troubled vietnam veteran  sister  live  become involved romantically  army buddy  remind  tragic battle  survive,Drama,0,0,1,0,0
8395,19114, young kid fall  love  passion  consume  parent  jade  parent try  stop  see  work david burns  house  send away  stop  see  get  goes  look  passion  first love  strong  leave,Romance|Drama,0,0,1,0,1
6131,2075, professional hit man  hit woman fall  love  discover  hire  kill  other,Romance|Comedy|Crime|Drama,0,1,1,0,1
9262,19142, swamp thing return  battle  evil dr arcane  new science lab full  creature transform  genetic mutation  choose heather locklear  new object  affection,Horror|Science Fiction,0,0,0,0,0
8968,32336,platon ryabinin  pianist  travel  train  distant town  griboedov  visit  father  get  lunch  twenty minute stop  zastupinsk railway station  meet vera  waitress  refuse  pay  disgusting food  even touch  miss  train due  police investigation  incident  passport  accidentally take away  andrei vera fianc  money  steal  wait  next train  griboedov vera learn  platon  get sentence  send  prison  far east  car accident  guilty  day  platon  spend  zastupinsk  vera develop feeling  other,Drama|Romance|Comedy,0,1,1,0,1
1226,279828,set  world  love  deem illegal  eradicate  special procedure  day  go  schedule treatment lena holoway  unthinkable  fall  love,Adventure|Fantasy|Romance|Science Fiction,0,0,0,0,1
4372,58595, evil queen marry  king  perform  violent coup  king  murder  daughter snow white  take captive almost  decade later  grow snow white  still  clutch  queen  order  obtain immortality  evil queen need  heart  snow white  snow escape  castle  queen send  huntsman  find  dark forest,Adventure|Fantasy|Drama,0,0,1,0,0
5140,25523,lord farquaad  eat  dragon  ghost  return  he s still evil  help  henchman thelonious  kidnap fiona shrek  donkey set  save  help  dragon  go  waterfall  raft,Fantasy|Animation|Comedy|Science Fiction|Family,0,1,0,0,0
2144,41179, wedding  vincent  berenger  begin well  starter  fabulous cake  reception fall apart  butler  ch teau  caterer  take  flight  stair fall  cream puff  carefully pick  floor  arrange  though nothing happen  bride come  bourgeois family preside  maddie  old lady  secret  heart  wedding  perform  local church  father victor prove  classic marriage  plan,Comedy,0,1,0,0,0
9549,14285,errol morris unique documentary dramatically  enact  crime scene  investigation  police officer murder  dalla,Mystery|Documentary|Crime,0,0,0,0,0
4963,8273, high school  distant memory jim  michelle  get marry  hurry since jims grandmother  sick  want  see  walk  aisle  prompt stifler  throw  ultimate bachelor party  jim dad  reliable  ever dole  advice  want  hear,Comedy|Romance,0,1,0,0,1
2111,50838, man awaken  car wreck  bottom  steep cliff  can not remember  get  report  radio fill  blank  describe  violent bank robbery  name  perpetrator  happens  sit dead  back seat,Thriller|Mystery,0,0,0,1,0
3838,65256, normal teenage girl stumble upon  ancient cave  undergo  transformation  change  live forever h  add water see  different girl face everyday teen problem  add twist  mermaid  incredible power  water,Fantasy|Adventure,0,0,0,0,0
6682,10063,brother john  matt  inherit  island cabin  recently decease uncle along  matts girlfriend nicki  mutual friend  sibling travel  cabin  relax weekend getaway  long  arrive  group  besiege  ravenous dog  watch  horror  another vacationer luke  eat alive soon  discover  training facility  dog  breed  kill,Horror,0,0,0,0,0
4277,2436,set  year  future  post earthquake california  san diego  los angeles  merge  city  teenage brother  half  powerful ancient chinese talisman  evil gang leader name bo abobo  half  determine  get  brother half  complete medallion  gain absolute power  magical double dragon medallion,Action|Adventure|Comedy|Science Fiction,1,1,0,0,0
8156,16420, evil iago pretend  friend  othello  order  manipulate  serve  end  film version  shakespeare classic,Drama,0,0,1,0,0
3110,14073,jodhaa akbar  sixteenth century love story  marriage  alliance  give birth  true love  great mughal emperor akbar  rajput princess jodhaa,Action|Adventure|Drama|Foreign|History,1,0,1,0,0
5545,209403, misanthropic man set  exact revenge  estranged father  find  loophole  attempt  win  national spelling bee  adult figuring  would destroy  father  everything he s work  hard  head  spell bee championship organization guy trilby jason bateman eventually discover win  necessary  revenge  friendship  blessing  curse,Comedy,0,1,0,0,0
1017,268171, story  people  end  road discover  never  late  love  make dream come true,Comedy|Family|Romance,0,1,0,0,1
9575,40168, man heist  camp pendleton payroll  kidnap  pilot  daughter  force  fly  mexico enroute  double cross  thief parachute  loot  abandon graveyard surround  strange scarecrow  rest  team jump  loot  former partner everything happen  course  dark night,Horror,0,0,0,0,0
9472,623, diamond advocate  attempt  steal  collection  diamond  trouble arise  realize  diamond,Comedy|Crime,0,1,0,0,0
5980,178290, look  life  activist musician  cultural icon kathleen hanna  form  punk band bikini kill  pioneer  riot grrrl movement  s,Documentary,0,0,0,0,0
1928,20526,sam flynn  tech savvy  dare son  kevin flynn investigate  father disappearance  pull  grid  help  mysterious program name quorra sam quest  stop evil dictator clu  cross  real world,Adventure|Action|Science Fiction,1,0,0,0,0
4957,508,follow seemingly unrelated people  life begin  intertwine  fall  love affection languish  develop  christmas draw near,Comedy|Romance|Drama,0,1,1,0,1
350,331190,base  miraculous true story  draw  attention  entire nation  dramatic thrilling  spiritual journey  ashley smith  brian nichols  take hostage  brian  apartment ashley turn  rick warren  inspirational book  purpose drive life  guidance  reading  book ashley  find purpose  life  help brian find  peaceful resolution  harrowing situation,Crime|Drama|Thriller,0,0,1,1,0
9420,9585, american woman trap  islamic iran  brutish husband must find  way  escape  daughter  well,Drama|Thriller,0,0,1,1,0
2201,44877,jo  chain  dead end supermarket job  friend  separate adventure  chance encounter  diamond thief send  separate world  collision course  fate itself,Action|Thriller|Crime|Romance,1,0,0,1,1
6965,38,joel barish heartbroken  girlfriend underwent  procedure  erase  memory decide  watch  memory  fade away  realise  still love  late  correct  mistake,Science Fiction|Drama|Romance,0,0,1,0,1
1934,10140, time around edmund  lucy pevensie along  pesky cousin eustace scrubb find  swallow  paint  fantastic narnian ship head  edge  world,Adventure|Family|Fantasy,0,0,0,0,0
6571,496,kazakh journalist borat sagdiyev travel  america  make  documentary  zigzag  nation borat meet real people  real situation  hysterical consequence  backwards behavior generate strong reaction around  expose prejudice  hypocrisy  american culture,Comedy,0,1,0,0,0
8204,12520,strand student pete ron eldard get  lift  racist trucker zack  repay  favor  invite  dinner  roommate jude cameron diaz luke courtney b vance marc jonathan penner  paulie annabeth gish  zack praise hitler  pull  knife  table  roommate kill  rationalize  action  favor  humanity  bury zack  yard  begin  invite  offensive type  string  similarly murderous meal,Comedy|Thriller|Crime|Drama,0,1,1,1,0
5751,255692, scientist discover  body  freeze genetically modify russians bury  canadian north upon thaw  realize  unleash  deadly threat  western society  must stop  cost,Action|Science Fiction,1,0,0,0,0
9958,16328,joe  young american soldier  hit  mortar  last day  world war  lie  hospital bed  fate bad  death  quadruple amputee  lose  arm leg eye ear mouth  nose unbeknown  doctor  remain conscious  able  think thereby relive  life  strange dream  memorie  unable  distinguish whether  awake  dream  remain frustrated  situation  day  joe discover  unique way  communicate  caregiver,War|Drama,0,0,1,0,0
6987,10304, sequel  paul verhoevens love revile sci fi film  group  trooper take refuge  abandon outpost  fight alien bug fail  realize  danger lay  wait,Adventure|Horror|Action|Science Fiction,1,0,0,0,0
6006,159002, candid new york love story explore  chaotic  year marriage  fame boxing painter ushio shinohara  wife noriko anxious  would  role  overbear husband assistant noriko find  identity  own,Documentary,0,0,0,0,0
564,355600,paul thomas anderson join  close friend  collaborator jonny greenwood  trip  rajasthan  northwest india  host  maharaja  jodhpur  bring  camera  destination  th century mehrangarh fort  greenwood  recording  album  israeli composer shye ben tzur  amazing group  musician,Music|Documentary,0,0,0,0,0
1582,16614, summer  college graduate take  nowhere job  local amusement park  find  perfect course  get  prepare  real world,Comedy,0,1,0,0,0
6681,4643, high school swim champion  trouble past enroll  coast guard  school  legendary rescue swimmer ben randall teach  hard lesson  loss love  self sacrifice,Action,1,0,0,0,0
2175,31007,year  teenage daughter  death lois  doug riley  upstande indiana couple  frozen  estrange grief doug escape  new orleans  business trip compel  urgency  understand  insinuate  life  underage hooker become  platonic guardian,Drama,0,0,1,0,0
5816,128081,summer war game  neighborhood kid turn deadly serious  jealousy  betrayal enter  mix  alternately hilarious  horrify black comedy  mix equal part lord  fly  roald dahl,Action|Comedy|Drama,1,1,1,0,0
2540,10279,spike lee take  son  sam murder  new york city  summer  center  resident  italian american south bronx neighborhood  live  fear  distrust  another,Thriller|Drama|Crime|Romance,0,0,1,1,1
6423,18882,agent  oil tycoon vanish  explore  swamp mark  drill  local sheriff investigate  face  seminole legend come  life  man thing  shamble swamp monster whose touch burn  feel fear,Action|Horror|Science Fiction,1,0,0,0,0
6517,14286, american foreign policy dominate  idea  military supremacy  military become  important  american life jareckis shrewd  intelligent polemic would seem  give  affirmative answer  question,Documentary|Drama|History,0,0,1,0,0
7739,14044,follow  soldier try  gain recognition  comrade  die  turning point  civil war  communist  nationalist force  kuomintang kmt,Action|History,1,0,0,0,0
2707,12149, man confess  fbi agent  family story  religious fanatic father vision lead  series  murder  destroy suppose demon,Drama|Thriller|Crime,0,0,1,1,0
3372,1771,predominantly set  world war ii steve roger  sickly man  brooklyn  transformed  super soldier captain america  aid  war effort roger must stop  red skull  adolf hitler ruthless head  weaponry  leader  organization  intend  use  mysterious device  untold power  world domination,Action|Adventure|Science Fiction,1,0,0,0,0
